리뷰,별점
수년전 타지역에서 먹었던게 생각나서 주문해봤는데 역시 맛있었어요 서비스 떡도 무한쫄깃하구 닭강정 매콤한맛은 바삭하며 맛있구 달콤한맛은 단짠한맛에 계속들어가네요 둘이 먹었는데 양도 많고 콜라랑 잘먹었어요,5
처음 먹게 되었는데 정말 맛있었어요 바삭해서 좋았고 배달도 빨랐어요,5
맛있게 잘먹었습니다,5
튀김 고기가 레전드로 맛있어요 벗 소스는 뭔가 둘다 밍밍한게 딱 프렌차이즈맛이었습니다 그래도 튀김과 고기맛이 워낙좋앗어요,5
맛있네요 담에는매콤으로,5
늘 맛있게 잘 먹고 있어요,5
늘시켜먹는닭강정 애가 참 잘먹어요 잘먹었어용,5
믿고 먹는 맛떡추가 2 번해서 드세요,5
강정 이 생각이 나서 배달시켜 먹었어용 맛있게 잘 먹었습니다 다음에도 맛있게 해주세요,3
바싹하니 맛있어요 맛나게 잘먹었습니다,5
매콤한맛이 특히 맛있는 것 같습니다,5
자주시켜먹는데 리뷰는 첨이네요,3
메뉴고민을하다가 인기메뉴인 반반을 선택했지요 저와 딸랑구는 달콤이 더 맛있고 신랑은 매콤이 더 맛있다네요 치킨이 질릴땐 닭강정을 드세요,5
이번에는 살이 별루 없었음 거의 튀김,3
리뷰이벤트로 떡추가 감사드려요맛있었구요 다음에 또 주문할게요,5
양도 많고 맛있어용 담엔 매운거 먹어봐야겠어요,5
강정이 생각날 때마다 배달시켜 먹어요 양도 적당해서 맛이 좋아요 다음에 또배달시킬께요,5
금방오네요 맛있어요,5
양도 많고 맛있음 다음에도 먹을게요,5
음식은 맛있어요 양도 많구요 하지만 배달은 너무 늦어요 음식점에서는 바로 만들어 보내셨다는데 저는 다 식은 걸 받았어요 그 점은 아쉽습니다,5
음 맛있어요 양은 듬뿍 맛은 적당히 맵고 적당히 달콤해서 좋아요 사장님께서 스몰콜라 각무우도 서비스로 주셨답니다 인심 좋은 사장님 덕에 기쁨이 배가 되었어요 아이가 더 잘 먹어서 다음에도 주문해야겠어요,5
잘 먹었어요 소스와 땅콩가루가 조금 부족했어요 다음에는 듬뿍 넣어주시면 더 맛날 것 같아요,5
양도 많고 맛도 있고 배달도 빠르고 최고예요,5
떡도 많이 주시고 맛있게 먹었습니다,5
따끈하고 양도 많고 펩시 최고 맛있게 잘 먹었습니다,5
맛있게 잘먹었습니다,5
너무맛있어요 매꼼하니맛있어요 다음에 또 시킬께요 감사합니다,5
양도 많고 맛있었어요,5
맛있었습니다 근데 선결재했는데 후불이라고 해서 트러블이 있었네요,5
맛도 좋고 양도 많고 좋네요 행복합니다,5
역시 맛나요,5
맛있어서 잘 먹었습니다,5
몇년째 따뜻하게 잘 가져다 주셔서 이사해서도 잘 주문해 먹고 있습니다 감사합니다 어려운 시기에도 대박나시길 바랍니다,5
맛있게 잘먹었어요,5
주문하고 배송오는데 시간이 좀 걸리지만 이해해요맛있으니 주문량이 많아서 그러니까요이번에도 아주 맛나게 잘 먹었어요,5
진짜 오랜만에 먹는데 너무 맛있었어요 서비스로 떡도 많이 넣어주시고 이정도면 맨날 시켜먹고싶어요,5
가마로 먹고싶어서 좀 멀지만 시켰습니다 너무 맛있고 양도 많이주시네요,5
맛잇게잘먹었습니다,4
청양마요 처음 먹어봤는데 넘 맛있어요 양도 많아서 배터질뻔 했네여,5
한달에 5 번은 먹는거 같아요 최고에요,5
항상 맛있게 먹고있어요 맛있는 음식 만들어주셔서 감사해요,5
매운맛이랑 달콤 조합이 생각보다 괜찮네요 앞으로 이것만 시킬 것 같습니다,5
항상 맛있게 잘 먹고있습니닼,5
맛도 좋고 배달도 빠르고콜라서비스까지 굿굿,5
빠르게 잘받았습니다간장마늘은 맨입에 먹기엔 좀짠듯해용,4
떡양이 푸짐해서 더욱더 맛있게 잘먹었습니다,5
역시 닭강정은 가마로가 맛잉어용,5
급땡겨서 주문했습니다 리뷰이벤트 참여로 떡 추가했구요 배터지게 잘 먹었습니다,4
여기는배달진짜빨라서좋아용,5
아이들이 아주 좋아해요 그래서 자주 주문해서 먹게 되는 것 같아요,5
최근 자주 시켜먹는데 맛도 양도 너무 만족스럽네요,5
땅콩토핑 추가하니까 너무 맛있어요 양념치킨처럼 먹고싶어서 소스두개시켜서 찍어먹으니 정말 맛있습니다,5
여기 닭강정매콤맛을 따라올 맛이없네요,5
맛좋아요 양 많아요,5
맛있게 잘 먹었어요 넘느끼하지 않고 바삭해서 좋아요,5
맛있게 잘 먹었습니다,5
잘 먹었습니다 역시 가마로,5
너무 맛있었는데배달 예상시간 보다 지나와서 한시간 넘게 기다렸습니다,5
항상 맛있게 먹고 있습니다,5
잘먹었어요,5
맛있습니다자주 시켜먹을게요,5
사진은 따로 못찍었네요 가마로강정 좋아해서잘먹고있어요 배달도되서 좋아요,5
시간보다 일찍왔고 땅콩토핑이랑 양도 푸짐했어요 떡 도 넉넉했습니다 비오는날 맥주안주로 딱이예요,5
맛있어요 포장으로자주먹어요,5
맛있게 잘 먹었습니다,5
날씨가 좋지않음에도 배달이 엄청 빨리 왔네요 잘 먹겠습니당,5
너무 맛있어요 처음시녀보는데 앞으로도 자주 시킬거 같습니다,5
항상 따뜻했고 맛있게 잘 먹었습니다,5
10 년째 닭강정먹지만 여기가 제일,5
항상 시켜먹는곳이에요아이도 좋아해요 떡을 좋아해서 떡추가 서비스 받았더니 아주 좋네요,5
맛은있는데 양이너무적어요,4
맛 좋아요 매번 시켜서 먹어요,5
떡추가 잘 먹었습니다 항상 맛있게 먹고 있어서 너무 감사드려요 담에 또 주문할게요,5
요긴 뭐 그냥 시켜먹으면 됩니다 개꿀맛 은은하게 고추맛이 더 좋네요 맛있어요,5
강정이먹고싶어서찾다가 주문했어요 너무맛있어요 다음엔 더 매운맛으로 시켜먹어볼려고요잘먹었습니다감사합니다,5
오자마자 먹느라 바빠서 사진이 엉망이네요 장마라 비 엄청왔는데 배달도 엄청 빨리오셨습니다 상자도 젖고 물이 좀 샜지만 이 날씨에 오신것도 감사하네요 리뷰이벤트로 떡추가했는데 떡 진짜 많이 주셨어요 할머니랑 맛있게 잘 먹었습니다 많이 맵지도 않아서 괜찮았어요,5
배달도 빨라 내용물이 따뜻합니다요청드린거 친절히 다 해주시고 감사합니다 맛있게 잘먹겠습니다,5
떡 많이넣어주셨네요 맛있어요 감사합니다,5
이틀전에 사다줬는데 오늘또 먹고싶다는아들,5
맛있어요 배송도 빠릅니다,5
매운맛도 무척 달아요 바삭하고 고기누린내같은게 없어서 좋았어요 잘 먹었습니다,5
최고에요 진짜,5
매일 먹고싶은 맛 살찔까봐참음,5
배달이 조금만 더 빠르길 기다리는 거 힘듬,5
맛있게 잘 먹었습니다,5
맛있게 잘 먹었습니다,5
맛있어서 그냥 치킨보다 자주시켜먹게되네요 감사해요,5
아이들의 최애 치킨인듯 해요 흠 확실히 이걸 더 잘먹네요 달콤이 너무 달아 아이들이 안먹어서 다음엔 간장만 시켜야겠어요,5
리뷰이벤트린 떡추가 잘 받았고맛있게 잘 먹었습니다 또 주문할게요,5
배달 빨랐고 바삭했어요 이벤트 떡도 많이 주셨습니다 맛있게 잘 먹었어요,5
가마로 역시 맛있었습니다,5
헉 맛있게 먹어놓고 리뷰를 쓰는걸 잊어버렸네요 조금 늦은 것 같지만 항상 맛있게 잘 먹어요 특히 소스가 맛있는거 같아요 윤기도 주르륵 진짜 시켜먹고 후회 안할 맛이에요,5
처음 시켜먹었네요 푸짐한양파 느끼함을잡아주고 새콤달콤한소스 간식으론 딱이네요 맛있슴당 떡엄청좋아하는데 많이챙겨주시고 배송도빨라서 따뜻하게 먹을수있었답니다 다른맛도 하나씩 시켜먹을려고요,5
생각보다 더 빨리오고 맛도 바삭바삭하고 맛있네요,5
역시 존맛이었습니다 떡추가 감사합니다,5
맛잇습니다 근데 저같은 돼지는 한마리 더 시켜야겠어요 꾸익 맛있어서 부족해,5
잘 먹었습니다감사합니다,5
오늘 처음 마늘강정 시켜봤는데 겁나 후회 반도 못먹고 버림 기본이 제일 맛있는듯,3
양파는 처음 시켜보는데 대박 맛있습니다 가마로의 바삭함이랑 너무 잘 어울렸어요 후회하지 않을 선택입니다 매일 달콤한 맛만 먹다가 좀 질릴 때가 됐는데 가끔가다 한번씩 새롭게 시켜먹기 딱 좋네요,5
가격에 비해 양이 너무 적으나 맛은 최고,5
이벤트 떡사리 잘 받았구요 파닭 소스가 굉장히 호감이네요 호호 다음에도 파닭 시킬 것 같습니다,5
항상 맛있어요 잘먹고 있어요,5
배달이 예상 시간보다 빨리 와서 빠르게 잘 받았습니다 가마로 너무 맛있어요,5
떡 추가된게 확실히 느껴지네요 항상 맛있습니다,5
맛있어요 자주 시킵니다,4
역시 맛있어요,5
역쉬 맛있네요 믿고 먹는 가마로 달콤강정 먹어도먹어도 질리지 않아요,5
넘 맛있어요 바싹바싹 달콤한맛 재주문 또 합이다,5
항상 시킬때마다 맛있습니다 땅콩가루랑 같이 먹으면 더 맛있네요,5
빨리 먹고싶어서 먹다보니 사진을 못 찍었어요 정말 바삭하고 양념도 잘 버무려져서 진짜 맛있는 닭강정이었어요,5
잘받았고 역시 가마로닭강정 맛있어요다만주말저녁이라서 그런지 식어서 와서 별하나뺐어요다음에 또시킬게요,5
전반적으로 만조스러운 곳입니다맛있네요,4
맛있어요,5
맛있어요,5
맛있게 먹었어요 배가 부르더라도 배에 계속 들어가더라고요,5
따끈따끈 맛있었어요,5
땅콩토핑 올리니까 완전 맛있네요 짱,5
언제 시켜먹어도 너무 맛있어요,5
항상 먹는거지만늘 깨끗하고 맛있게 만들어주셔서감사합니다 닭강정은 가마로 최고인듯,5
닭강정은 무조건 가마로 너무 맛있어여,5
언제나맛있음 떡추가 1 번 더 하면 더맛남,5
너무너무 맛있어요,5
매콤한맛이 더 맛있어요,5
항시 맛있게 잘먹고 있습니다,5
맛있게 먹었습니다 청양마요는 소스가 생각보다 맵네요,5
바삭하니 좋았어요,5
잘먹었습니다 적극추천합니다,5
역시 믿고 주문하는 가마로강정입니다 단점이라면 항상 양이 조금 아쉬웠는데 오늘은 평소보다 많아서 좋네요,5
맛은있는데 양은 다른치킨집에비해 적은거같아요,5
굿,5
양은 아쉬웠지만 달달하니 맛있게 먹었습니다 잘 먹었습니다,5
항상 믿고 먹는 가마로 먹기도 편하고 맛도 최고 항상 감사합니다,5
배달도 빠르고 바삭바삭한게 너무 맛있어요,5
양도 많고 맛있었습니다 땅콩가루도 뿌려먹으면 더 맛있습니다,5
잘먹었어요 맛있어요,5
첨시켰는데 교촌보다 맛진듯 매운거 좋아하시는 분들 땡초추천이요 예상시간보다 배달빨리 왔구요 배달하신분 친철하시네요,5
역시 강정엔 떡이있어야 제맛이죠 달콤한맛 매콤한맛 둘다 맛있네요,5
역시 가마로 닭강정 맛있어요 배고파서 먹느라 사진을 못찍었네요자주 시켜먹을게요,5
맛잇게 잘먹었습니다,5
좀더바싹하게튀겼으면좋컸어요,5
맛나게 잘 먹었어요,5
역시 닭강정은 가마로 사장님 맛있게 보내주셔서감사합니다,5
뭐죠 이 가볍고 바삭거리는 식감은 너무 딱딱해서 입천장 까지는 닭강정 있는데 여긴 튀김옷이 얇고 바삭해서 좋네요 매운맛 좋아해서 매콤맛 시켰는데 딱 좋구요 배달도 예상시간보다 빨리 왔네요,5
맛있게먹었습니다,5
좋아요 배달도 빠르고 맛도 좋습니다,5
언제 시켜먹어도 맛있고 배달도 빠르고 좋았습니다,5
강정은 가마로만 먹어여 역시 맛있어요,5
진짜 맛있어요 바싹하고 달콤하고 정말정말 맛있어요 리뷰쓰는 이벤트를 주문하고 봐서 요청란에 쓰질 못한게 쫌 속상했어요 전 언제나 별다섯개에요,5
오래간만에 주문한 가마로 닭강정 맛있게 잘 먹었어요,5
배달도 제시간 이내로 오고 항상 맛있게 먹고 있습니다,5
배달은 라이더가 안잡힌대서 조금 늦었어요 담번에는 늦어도 매장에 전화 안하고 기다림의 미학을 보여드릴거예요 후기가 증명하듯 여기 닭강정 시키세요 너무 맛있었어요 닭강정이 너무 먹고싶었는데 대만족했어요,5
닭강정은 여기서 늘 주문해요 배달 시간이 길어서 대기하는 시간이 보통 1 시간이라 좀 아쉽지만 맛은 좋아요,5
배달도 빠르고 따뜻하고 너무 맛있어요,5
맛있게 잘 먹었습니다 맛있네요,5
일단 떡은 받았으니까 별은 5 개 드리는데너무 달더군요 가족셋이 먹다가 물려서 못먹겠더군요,5
맛있게 잘먹을께요,5
믿고먹는 가마로 역쉬맛나요 남겨주긴싫지만 잘먹었네요,5
비가 와서 배달이 늦어질것 같아 느긋하게 기다리고 있었는데 생각밖에 일찍 배달이 되었네요 가족들이 하나씩 맛보더니 맛나다고 하네요,5
이사가기전 마지막으로 주문해서 맛있게 먹었습니다맛과 양이야 늘 만족스럽고 마지막 주문인데 배달까지 빨리 받았습니다 여태 맛있게 먹었고 이사가는 곳에도 가마로강정이 있었으면 좋겠네요여태 감사했습니다,5
다른지점에서 많이 시켜먹었는데 철산지점 역시 너무 맛있어서지인들이 완전 만족했습니다당구장에서 자주 시켜먹을께요,5
늘 먹어도 맛있어요,5
닭강정 정말맛있어요 멀리 가서 찾을 필요없이 먹고 싶을때 여기서 주문하면 될거같아요,5
많이늦긴햇는데 배달원분이 친절하세요엥 다식어서 왔어요 잘먹었어요,5
사진은 못찍었네영 역시 맛있네양,5
강정이 정말 맛있어용 매번 잘 먹고 있습니닷,5
맛있게 잘 먹었습니다,5
첫주문이였는데요 좀 실망이네요 배송 깔끔했지만 맛이 너무 달았어요 반반 둘다 물엿이 많이 들어갔는지 달아서 결국 남겼습니다,2
반반시켯는데 양도많고 맛도있어서 진짜 배부르게먹었어요 또 시켜먹겠습니다,5
빠른 배달 감사합니다,5
항상 맛있고 배송도 빠릅니다,5
매콤 달콤 청양마요 주문 했는데 후라이드가 온것 같아요 배달은 1 시단 20 분이 넘게 걸렸구요 강정은 밀려서 늦나보다 했는데 다 식어서 왔네요 교환하고 싶었지만 넘 늦게와서 그냥 먹어요 매콤은 엄청나게 매운건 아니고 매운거 잘 못 먹지만 먹을만음하게 매워요 달콤도 먹을만 하지만 굳이 둘 중 고르라면 매콤 할것 같아요,2
맛있게 잘 먹었습니다,5
맛있어용 잘먹엇어영,5
매번시켜 먹는 곳인데 맛나요,5
정말 맛있게 잘 먹었습니다,5
맛있어요 오늘은 조금 식어서인지 더 매웠어요,5
사장님 돈 마니 버실려면 한참더 노력 하셔야겠어요,1
바삭바삭 맛있어욤,5
맛있게 잘 먹겠습니다,5
맛도 좋고 가볍게 먹을수 있어 좋습니다,5
오늘은 양념이 닭하고 따로 논듯한 맛입니다 식어서 그랬을까요 단골이라 맛이 금방 표나요 그래두 담에 또 이용할 듯요 가마로강정맛에 길들여졌어요 타사는 잘 않먹혀서,5
땡초는 엄청 맵네요 그래도 맛있었어요 달콤은 안 맵고 달달해서 좋았습니다,5
믿고 먹는 가마로강정 잘먹었습니다,5
치킨말고 닭강정이 딱 땡길때 있잖아요 그때 먹으면 아주 딱 잡아줘요,5
맛있어요 떡도 진짜많이주심 재주문의사있습니다,5
양이 조금만 더 많았음좋겠어요 닭냄새도 안나도 맛있어요,5
배송도 빠르고 무척 맛있네,5
가마로강정 특유의 숯불맛 완전 맛있습니다 시키자마자 한 자리에서 다 흡입함 근데 이시국에 문앞에 두고 가달라고 했는데 배달부분이 문앞에 서있더라고요 그 점만 고쳐지면 좋을 거 같습니다,5
어제 너무맛있게 먹고 남아서 아침에도 먹었는데 식었는데도 너무 맛있었습니다,5
존맛탱 양은 2 명이서 배부르게 먹었음근데 허겁지겁 먹어서 그런가 뭐가 매콤이고 뭐가 달콤인지 모르겠다,5
이사오기전 많이 먹었어요 요기도 맛나네요 아이들도 잘먹어요,4
맛있습니다 좋아요,5
존맛입니다 자주 시켜먹을듯,5
솔직히 너무맛있어요,5
달콤강정은달달하니 맛있어요매콤강정은 처음에는 안 매운데 먹다보면 매워지네요 그리고 봉인라벨도 붙어져 있어서 안심되네요,5
아이가 너무나 좋아하는 닭강정 어김없이 이번에도 너무 맛있게 잘먹었어요,5
자꾸 생각나는 맛이에요 맛있어요 오늘은 먼가 물컹이는 식감이 몇개 있어서 쪼끔 느끼했어요 잘먹었습니다,5
늘 맛있는 닭강정인데 덩어리가 오늘따라 뭉쳐서 아이꺼를 가위로 잘랐더니 닭기름이랑 반죽이 좀 보기 그래서 에어프라이어로 한번더 돌렸네요 오늘은 그래서 별하나뺐어요,5
넘넘 잘먹었습니다 양도 많구 최고예요,5
처음 먹어보는데 깔끔하게 포장되어 있고 맛있네요 다음에 또 시켜 먹겠습니다,5
여러번 사먹었는데 시켜먹어도 맛있네요,5
배달이 넘 빨리와서 깜짝 놀랐어요 맛은 물론 따뜻한 강정을 먹을 수 있어서 더 좋았어요 맛있게 잘 먹었어요,5
맛잇게 잘머것어용,4
반반 강정 맛있어요,5
양도많고 맛있어요,5
아이들이 좋아해서 자주시켜요주문사항 잘 전달되는것같고 배달도 적당히 빨리와요,5
18 56 주문 20 23 도착업체에 전화했더니 좀전에 출발했다면서 좀전에 출발한 주소도 모르나부죠 불러준 주소를 한참을 찾다니 소비자상대로 거짓말은 하지 말아야죠,1
잘 튀겨져서 맛이 좋았습니다 다음에 또 주문할게요,5
달콤맛있어서 반반 시켜봤는데 맛있게 맵더라구요 떡두 많이 주셔서 감사합니다,5
언제나먹어도 맛있어요 감사합니다,5
배달도 빨리왔고 넘나 맛있게 잘먹었습니당,5
바삭바삭한게 너무 맛있었어요,5
가마로는 아이들이 너무 잘먹어서 자주 시켜요 3 가지 세트 매운맛 고정이 좀 불편해요 식구들이 매운걸 다 잘 못먹어서 선태할수 있게 해주면 좋겠어요,5
정말 맛있게 잘 먹었습니다,5
맛은 좋은데 양이 좀더 많았으면 좋겠어요,5
맛있어요 치킨살이 더 많았으면 조금 더 좋을 것 같아요,5
맛있게 잘 먹었습니다 양이 적어서 조금 아쉬워요,5
따뜻하고 바삭바삭 맛있어요 달콤,5
이번에도 너무 맛있게 잘먹었는데 늦게 배달된 점이 좀 아쉬웠습니다,4
양은 교촌 치킨이랑 비슷한 수준입니다 처음에는 교촌 치킨보다 조금 많아 보였으나 먹다 보니 치킨의 10 20 정도는 고기가 없는 반죽 튀김이더군요 양이 많아 보이기 위해서 그렇게 튀기셨는지 아니면 튀김기 앞에서 막 반죽을 한 치킨을 튀기다가 들어간 부스러기들을 거르지 않으셨는지는 모르겠지만 솔직히 빈 튀김 씹을 때마다 기분이 좋지는 않았어요 개인적으로 달콤 강정보다 매콤 강정이 훨씬 좋았어요 식어서 오긴 했지만 바삭했습니다 다만 상자 표면에 양념이 덕지덕지 묻은 채로 와서 테이블 위에 있던 물건들이 지저분해졌어요,3
양이 좀 모자라지만 맛은 최고에요 아이들이 너무 좋아합니다,5
너무 맛있습니다 아이들도 맛있다며 잘먹네요,5
아이들도 맛있게 잘 먹었어요 떡도 부드럽고 쫄깃쫄깃 또 시켜 먹을께요,5
맛 좋았어요,5
달콤해요 따뜻하고 떡두 많아서 좋아요 감사합니다 담엔 반반도 먹어보고싶네요,5
너무너무 맛있게 잘먹었습니다 역시 가마로 굿굿,5
조금 짰어요 떡이 맛있네요,3
엄청 고소해서 밤에 기분좋게 먹고 잤네요,5
왜 다른 지점보다 더 맛있죠,5
치킨양은 보통이고 맛있네요 또 주문할께요 글고 배달이 빨리와서 깜놀했어요,5
가마로강정은 역시 맛있쥬,5
가마로강정 간만에 먹었는데 역시나 맛있네요 철산역점에서 자주 시킬 것 같습니당,5
양이좀 많이 아쉬운편,3
매콤 달콤 반반 자주시켜먹어요,5
진짜 간만에 먹었는데 넘나리 맛있게 잘 먹었어융 청양마요 첨 먹어봤는데 매콤하고 맛있네요전반적으로 튀김 옷도 바삭하고 떡도 많이 주셔서 잘 먹었습니다 핳 이렇게만 음식이 온다면 앞으로 자주 시켜먹을 것 같아요근데 양이 살짝 적어 아쉽습니다,4
매콤한맛도 달콤한맛이 나요 개인적으로 달콤한양념이랑 닭각정이랑 어울리지는 않네요 양이 그렇게 많지는 않은거같아요 전체적으로 튀김상태나 맛은 괜찮은편이네요,3
맛있게 잘 먹었습니다 또 주문할게용,5
배송도 빠르고 맛있게 잘 먹었습니다,5
언제나 맛있게 먹고 있어요 감사해요,5
서비스도 감사하고 맛있게 잘 먹었습니다,5
재주문합니다 떡 서비스도 감사요,5
지금까지 먹어본 닭강정중에 젤 맛있음,5
배달도 빨리오고 맛도 좋았어요,5
요청사항도 들어주시고 배달도 친절하게 해주시고 닭강정이 정말 맛있네요,5
맛있어요근댑 양이너무작아요 가끔한번씩 시켜먹는건 괜찮을거같아요감사히잘먹었습니다,3
맛있어요 가마롱강정,5
맛도 맛나규 배달도 빠르고 굿굿,5
닭강정 넘흐 맛나요 아이도 치킨에 밥 먹었어요 땅콩 왕창 요청사항에 넣었는데 간장 치킨만 땅콩 가출,5
양은 조금 적은편인거같지만 바삭하고 맛있었어요,5
너무 맛있게 먹었어요,5
제가 지금까지 먹은 강정 중에 제일 맛있어요 앱 쓰면서 처음으로 리뷰 달아용,5
아이들이 한번 맛보고 난 후부터는 늘 가마로강정을 사달라고 할 정도로 맛있나봐요 잘 먹었습니다,5
잘 먹었습니다,5
맛있었어요 애기도 잘먹고 자주시켜먹을게요,5
언제나 맛나게 먹고 있어요 맛도 짱 사장님 인심도 짱 넘넘 좋아요,5
달콤 매콤 반반 맛있어요,5
가마로 강정은 여기서만 시켜 먹어요 제일 바삭하고 맛도 제일 있어요 오늘은 바쁘셨는지 땅콩가루가 안뿌려져있더라구요 정말 좋아하는 가루라 조금 아쉬웠어요 그래도 맛은 있습니다,4
맛있게 잘먹었습니다 매운맛은 저한테는 살짝 매워서 전달콤한맛이 더낫더라구요 아이들은 매운맛을 더좋아하네요 양도많고 배부르게 잘먹었습니다,5
가마로 닭강정 다른집에서는 맛볼수없는 독특한 소스 때문에 생각나게되서 배달시켜먹네요 맛있습니다,5
항상 맛있게 시켜먹고 있어요,5
맛있기는 한데 양이 애매하고 다식어서 배달왔어요,4
맛있게 잘 먹었습니다,5
맛있어요 바쁘셨는지 평소보다는 배달이 조금 늦었는데 다린 보람이 있어요 존맛탱,5
빨리와서 잘 먹었어요,5
배달이 직접올때랑 많이 달라요,5
정말 맛잇게 잘 먹었습니다,5
양이 너무 적어요 맛은 괜찮습니다,3
소스가 좀 화장품 냄새가 나요 한번도 이런적없었는데 물엿이 많이들어가건지 떡먹을땐 유독 심해서 다 못먹었네요 배달 빨라서 좋았어요,4
저번주에도 먹었는데 또 시켜 먹어요 맛있습니다 바삭하고 좋아요 다음에 또 주문할게요,5
너무 맛있게 잘 먹었어요,5
맛있는데 별로 안매워요 매콤수준,5
빨리오고 맛있습니당,5
배달도 빠르고 맛있어요 사진 찍는다는걸 받자마자 먹느라 못찍었네요주말에 매장에서 주문해서 먹어보고 너무 맛있어서 또 주문했어요 자주애용할게요,5
따끈따끈 매콤달콤 진짜 맛있었어요 거기다 바삭바삭하기까지 해서 완전 대만족 정말 잘 먹었어요 참 배달도 빠릅니다 다음에도 또 시킬게요 감사합니다,5
봉인해제 스티커 너무 귀여워요 바삭한 닭강정이 먹고 싶었는데맛있게 잘 먹었습니다,5
치킨은 19000 원이면 배불리 먹고 다음날에도 먹을수있게 두세조각 남는데 이건 다 먹어도 배가 조금 덜차네요 맛은 정말 맛있고 서비스도 좋습니다 배달도 빨라요 양만 조금 불만이 암튼 추천해요,5
역시 넘맛나요,5
배송도 빠르고 치킨도 맛있었어요,5
양도 적당하고 정말 맛있어요,5
여윽시 맛있으요 굿굿,5
맛있습니다 감사합니다,5
육즙많고 맛있습니다근데 평소에 다른데서 먹던 가마로랑 많이 다릅니다바삭한 튀김느낌은 전혀없고 촉촉한 치킨느낌이애요,5
육즙이 살아있으면서 맛이 촉촉했어요 다음에 또 시킬게요,5
맛있어요굿굿굿굿굿굿,5
배달도 빨리오고 떡 많이 넣어주셔서 감사합니다 근데 양파올리고 보니 소스가 소스가 안들어 있어요 어흙흙 걍 먹어도 맛있길래 그냥 먹었어요,5
맛있네여여여여여여여여,5
예상 시간보다 10 분 정도 늦게 왔어요 음식이 미리 나온건지다식어서 왔어요 차갑게 먹으니 맛이 별로 였어요,3
여기진짜맛잇네요아이도 너무맛잇다고 잘먹었어요,5
너무 맛있었어요감사합니다,5
집가다가 한번사봤는데 맛있어서 이번엔 배달했어요 확실히 직접 사서 집가자마자 먹는게 제일뜨겁구 맛있긴해요,5
역시맛있어여 근데 피크시간때주문하니 예상시간보단 쫌 마니 늦었지만 맛있어서 괜찮아영 넝넘맛있어여 또먹을래여,5
배고파서 오자마자 바리먹움 맛잇네유,5
맛나오,5
가마로 강정이야 원래 좋아하던 맛집인데두번째 카톡으로 지금 배송 출발했다는 연락후 25 분만에 싸늘히 식어서 왔어요 저희집이 가게에서 빨리걸으면 10 분 늦게 걸어도 20 분 안걸릴것같은데 걷는것보다 느리게 게다가 폭삭 다 식어서 오니까 뭔가 슬프네요 흑흑 분명 뜨거웠었을터인 내 강정 이렇게 싸늘히 식은 모습으로 만나고 싶진 않았는데 다음엔 그냥 제가 사서 오겠습니다,5
개마싯음 진자 여기가 닭강정이지,5
배달도 빠르고 정말 맛있네요,5
또 시켜먹었어요 진짜 맛있어요 배달도 빠르고 맛도 있고 진짜 좋아요 조만간 또 시켜먹을거같아요,5
배달도 빠르고 겉바속촉 이였어여 담에 또 시켜먹을게여,5
자주먹는만큼 맛있어요,5
맛있어요 거리가멀었는데두 배달해주시고 감사합니다 사랑합니다 최고네요 또먹을래여,5
말이필요없습니다,5
정말 맛있습니다 역시가마로,5
가마로 특유의 소스가 정말 맛있어요 왠만한 동네 닭강정집이랑 비교불가,5
아이가 좋아해요,5
배달은 늦었지만 늘 한결같이 맛있어요 할머니께서 참 좋아하세요,5
처음 시켰는데 맛있네요 다음에 또 시킬께요,4
좀더 바삭했으면 합니다 맛있었어요,5
역시 매콤달콤 강정 중에서 젤 맛있어요 정말 소스가 비일소스인듯 소스만 따로 시켰으면 좋겠다는요,5
너무 눅눅하게 와써요 닭강정인데 그래두,1
어른 아이 할거없이 너무 잘먹습니다 달콤은 4 살 6 살 아이들이 먹고맵콤은 엄마 아빠가 먹지요 특히 달콤 떡을 아이들이 서로 먹으려 하네요 최고에요,5
맛있어요 좀만 더 바삭하면 좋을듯,5
맛잇게먹엇어요 바삭하고매콤 하고 맛깔나요,5
맛도 좋아요 다음에 또 시킬게요,5
맛있게 먹었습니다 여전히 안은 쫀득한 식감에 겉은 바삭하고 달콤한 양념,5
잘 받았어요 다른 지점에서 먹다가 여기에서 처음 시켰네요 바삭하고 맛있어요 맛있고 좋은데 봉인해제 씰이 열려 있었어요 그러지 않았으리라 생각하지만 조금 그러긴 했어요,5
떡은빼달라고햇는데 떡도들어있네요 아숩지만 맛있게먹겠습니다,5
맛있어요 배달도 금방오고 역시 맛있네요,5
어른아이 모두 잘먹어요,5
맛있게 잘 받았습니다,5
여기까지 배달 해 주셔서 감사합니다 일단 달달하니 맛있어요 사진을 못찍었네요 먹다보니 생각나서 포장도 깔끔하고 배달도 빠르고 감사합니다,5
맛있네요 잘 먹었습니다,5
늘 시켜먹는 가마로강정 오늘은 조각이 작은게 많아서 먹기 편했어요,5
자주 먹는 가마로강정 맛좋고 아이들이 좋아해요,5
배달은살짝느렸지만 맛있어용,5
양도 많구 맛도 좋아요 다음에 또 시켜먹을게요,5
맛도 좋았고 배달도 예상 시간보다 빨랐어요다만 저녁에 아기 재우고 시킨 거라 노크 조용히 부탁드린다 했는데 벨을 바로 누르셔서 하마터면 못 먹을 뻔 했어요 지난번 오신 분은 진짜 조용히 노크하셔서 이번에도 믿고 시켰는데 다음엔 노크 부탁드려요,4
